"","Zip","Median","Pop","city","state","latitude","longitude"
"242","01824",99032.4496,"25234","Chelmsford","MA",42.595491,-71.3544
"243","01826",71731.4259,"28728","Dracut","MA",42.677772,-71.316
"244","01827",113594,"2847","Dunstable","MA",42.671356,-71.50292
"245","01830",63387.7423,"24320","Haverhill","MA",42.78519,-71.07011
"246","01832",57958.5191,"21246","Haverhill","MA",42.781357,-71.11023
"247","01833",97894.676,"7356","Georgetown","MA",42.729437,-70.98291
"248","01834",84232,"6027","Groveland","MA",42.750691,-71.02487
"249","01835",76253.0769,"13426","Haverhill","MA",42.757767,-71.08518
"250","01840",18507.3074,"4350","Lawrence","MA",42.706941,-71.16181
"251","01841",34128.3168,"44474","Lawrence","MA",42.71159,-71.16667
"252","01843",42587.2455,"23184","Lawrence","MA",42.691091,-71.16078
"253","01844",66023.4135,"43770","Methuen","MA",42.73004,-71.17935
"254","01845",99504.8894,"27203","North Andover","MA",42.683841,-71.11171
"255","01850",54087.2861,"15688","Lowell","MA",42.655791,-71.30504
"256","01851",51794.6336,"29549","Lowell","MA",42.630915,-71.33238
"257","01852",55088.5131,"32848","Lowell","MA",42.634112,-71.29849
"258","01854",44615.9361,"26785","Lowell","MA",42.649758,-71.33348
"259","01860",75517,"6145","Merrimac","MA",42.834246,-71.00207
"260","01862",86303.7899,"10097","North Billerica","MA",42.573592,-71.2911
"261","01863",77457.7946,"8558","North Chelmsford","MA",42.634199,-71.39322
"262","01864",97574.0805,"13849","North Reading","MA",42.583436,-71.0982
"263","01867",103358.3159,"23657","Reading","MA",42.52585,-71.10993
"264","01876",83975.5004,"28599","Tewksbury","MA",42.601684,-71.22071
"265","01879",92239.4313,"11092","Tyngsboro","MA",42.671589,-71.41694
"266","01880",89829.8993,"24610","Wakefield","MA",42.501345,-71.07132
"267","01886",123905.7375,"20811","Westford","MA",42.592086,-71.43754
"268","01887",97106.6347,"21279","Wilmington","MA",42.558576,-71.17031
"269","01890",128545.9522,"20806","Winchester","MA",42.451945,-71.14276
"270","01901",18257.3864,"1630","Lynn","MA",42.461246,-70.946743
"271","01902",38106.8009,"45617","Lynn","MA",42.469946,-70.94113
"272","01904",69263.4022,"17916","Lynn","MA",42.490421,-70.96579
"273","01905",42448.5342,"23905","Lynn","MA",42.464879,-70.97411
"274","01906",69050.9628,"26160","Saugus","MA",42.462796,-71.0098
"275","01907",90516.0387,"14463","Swampscott","MA",42.474409,-70.90588
"276","01913",73843.3937,"16447","Amesbury","MA",42.854423,-70.93547
"277","01915",71363.1901,"39854","Beverly","MA",42.560995,-70.8757
"278","01921",143045,"7903","Boxford","MA",42.677869,-71.00844
"279","01922",91052,"3041","Byfield","MA",42.76087,-70.92648
"280","01923",76694.5487,"25239","Danvers","MA",42.569756,-70.94322
"281","01929",76989,"3272","Essex","MA",42.631753,-70.77925
"282","01930",63047.3122,"30261","Gloucester","MA",42.624015,-70.67552
"283","01938",82394.8097,"12981","Ipswich","MA",42.682965,-70.84007
"284","01940",90676.5961,"11926","Lynnfield","MA",42.527895,-71.02834
"285","01944",105000,"5234","Manchester","MA",42.580033,-70.76462
"286","01945",95941.7799,"20370","Marblehead","MA",42.497146,-70.86323
"287","01949",87728,"7748","Middleton","MA",42.602278,-71.01356
"288","01950",76313.159,"17249","Newburyport","MA",42.809891,-70.86363
"289","01951",91052,"3622","Newbury","MA",42.780141,-70.86866
"290","01952",62923.6904,"7819","Salisbury","MA",42.85048,-70.86153
"291","01960",67118.618,"47991","Peabody","MA",42.534045,-70.96146
"292","01966",73675.5224,"7762","Rockport","MA",42.659936,-70.61727
"293","01969",74911,"5504","Rowley","MA",42.716708,-70.90899
"294","01970",57312.6134,"40268","Salem","MA",42.516845,-70.8985
"295","01982",97491.2037,"8299","South Hamilton","MA",42.616643,-70.86513
"296","01983",115015,"6132","Topsfield","MA",42.642471,-70.94424
"297","01984",132697,"4451","Wenham","MA",42.600518,-70.87618
"298","01985",111739,"4160","West Newbury","MA",42.790736,-70.97286
"299","02019",77420.441,"15248","Bellingham","MA",42.075122,-71.47953
"300","02021",88828.9506,"20755","Canton","MA",42.166776,-71.1343
"301","02025",114214,"7255","Cohasset","MA",42.241908,-70.81223
"302","02026",85130.8405,"23478","Dedham","MA",42.244609,-71.16553
"303","02030",164583,"5561","Dover","MA",42.23888,-71.28241
"304","02032",77708,"3576","East Walpole","MA",42.153912,-71.21362
"305","02035",94993.5158,"16163","Foxboro","MA",42.061427,-71.24232
"306","02038",92041.7149,"29553","Franklin","MA",42.089104,-71.4069
"307","02043",99909.5025,"19867","Hingham","MA",42.225708,-70.88764
"308","02045",70039.001,"11047","Hull","MA",42.286347,-70.87663
"309","02047",75170,"247","Humarock","MA",42.142836,-70.69353
"310","02048",93593.3965,"22393","Mansfield","MA",42.019982,-71.2191
"311","02050",85394.9436,"24577","Marshfield","MA",42.109763,-70.69172
"312","02052",123175.7205,"12254","Medfield","MA",42.185571,-71.30476
"313","02053",100949.9649,"12503","Medway","MA",42.151526,-71.42315
"314","02054",85472,"7892","Millis","MA",42.166398,-71.36178
"315","02056",111766.9568,"10608","Norfolk","MA",42.111836,-71.32855
"316","02061",106730.3125,"9785","Norwell","MA",42.15243,-70.8205
"317","02062",72935.3879,"28563","Norwood","MA",42.185974,-71.20166
"318","02066",92394.2735,"17349","Scituate","MA",42.205038,-70.7513
"319","02067",117828.3554,"17425","Sharon","MA",42.113749,-71.17923
"320","02071",91780.98,"956","South Walpole","MA",42.101406,-71.27239
"321","02072",69340.2269,"27342","Stoughton","MA",42.125432,-71.10627
"322","02081",92953.5532,"18430","Walpole","MA",42.145237,-71.25375
"323","02090",116083.1148,"14150","Westwood","MA",42.212949,-71.20735
"324","02093",94523.5247,"10446","Wrentham","MA",42.0597,-71.34617
"325","02108",96032.571,"3324","Boston","MA",42.357903,-71.06408
"326","02109",92310.4891,"3278","Boston","MA",42.361477,-71.05417
"327","02110",102972.304,"1606","Boston","MA",42.356532,-71.05365
"328","02111",31442.282,"4948","Boston","MA",42.349838,-71.06101
"329","02113",60386.2692,"6453","Boston","MA",42.365028,-71.05636
"330","02114",69808.6282,"11170","Boston","MA",42.361792,-71.06774
"331","02115",30282.3323,"25637","Boston","MA",42.34308,-71.09268
"332","02116",80153.3184,"19480","Boston","MA",42.349622,-71.07372
"333","02118",51368.0988,"22527","Boston","MA",42.338724,-71.07276
"334","02119",36316.2134,"23537","Boston","MA",42.324511,-71.08455
"335","02120",28794.4254,"11553","Boston","MA",42.332099,-71.09651
"336","02121",28896.7808,"24772","Boston","MA",42.307448,-71.08127
"337","02122",45858.5007,"24385","Boston","MA",42.296298,-71.05454
"338","02124",43597.6257,"51236","Boston","MA",42.28713,-71.07156
"339","02125",44265.7044,"32937","Boston","MA",42.316852,-71.05811
"340","02126",51732.8681,"27685","Mattapan","MA",42.272098,-71.09426
"341","02127",64284.9367,"29457","Boston","MA",42.33499,-71.04562
"342","02128",42613.4595,"38185","Boston","MA",42.378297,-71.0255
"343","02129",80222.532,"15195","Charlestown","MA",42.378619,-71.06495
"344","02130",69575.5357,"34961","Jamaica Plain","MA",42.309998,-71.11171
"345","02131",62945.4052,"30491","Roslindale","MA",42.284678,-71.13052
"346","02132",76801.5608,"25943","West Roxbury","MA",42.279432,-71.1598
"347","02134",33862.7193,"19641","Allston","MA",42.355147,-71.13164
"348","02135",52714.2535,"41833","Brighton","MA",42.348418,-71.15349
"349","02136",54410.3085,"26418","Hyde Park","MA",42.252198,-71.12593
"350","02138",68126.9316,"34994","Cambridge","MA",42.379146,-71.12803
"351","02139",62821.1903,"35273","Cambridge","MA",42.364347,-71.10431
"352","02140",65282.7325,"17158","Cambridge","MA",42.393327,-71.12837
"353","02141",57908.9106,"12010","Cambridge","MA",42.370519,-71.08443
"354","02142",61141.2162,"1823","Cambridge","MA",42.362297,-71.08412
"355","02143",64966.1434,"24864","Somerville","MA",42.381929,-71.09908
"356","02144",68003.5214,"24248","Somerville","MA",42.399546,-71.12165
"357","02145",50718.0207,"26833","Somerville","MA",42.390846,-71.09225
"358","02148",55890.4523,"56273","Malden","MA",42.428549,-71.06059
"359","02149",49695.7454,"38109","Everett","MA",42.409916,-71.0522
"360","02150",40344.1261,"34956","Chelsea","MA",42.396382,-71.03352
